On,Off,Ms,Scs,Dev,|,freq,Nd=0,Nd=1,Nd=10,Nd=11,Nd=12,Nd=13,Nd=14,Nd=2,Nd=3,Nd=4,Nd=5,Nd=6,Nd=7,Nd=8,Nd=9,|2,Nd=03,Nd=15,Nd=106,Nd=117,Nd=128,Nd=139,Nd=1410,Nd=211,Nd=312,Nd=413,Nd=514,Nd=615,Nd=716,Nd=817,Nd=918,rule,#correct,%correct,p(rule),p(margin),dev_same_as_rule
1,2,1,6,14,|,153,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.112,0,0.259,0,95.685,0,0,0,0.399,1.695,1.072,0.591,0.188,14,153,100,0,0,1
1,2,1,2,14,|,137,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.005,0.078,3.863,96.037,0,0,0,0,0.002,0.007,0.008,0,14,137,100,0,0,1
1,1,1,6,14,|,114,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.279,0,0.45,0,83.24,0,0,0,2.03,7.836,3.836,1.743,0.586,14,114,100,0,0,1
0,2,1,6,14,|,72,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.072,0,0.19,0,97.439,0,0,0,0.215,0.953,0.647,0.361,0.123,14,72,100,0,0,1
1,2,0,2,14,|,45,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.003,0.06,3.129,96.801,0,0,0,0,0.001,0.003,0.003,0,14,45,100,0,0,1
1,1,2,3,14,|,41,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.25,4.522,7.537,87.597,0,0,0,0,0,0,0,0.095,14,41,100,0,0,1
2,2,1,6,14,|,29,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.113,0,0.31,0,97.843,0,0,0,0.095,0.617,0.506,0.367,0.148,14,29,100,0,0,1
2,2,1,2,14,|,24,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.005,0.091,4.443,95.451,0,0,0,0,0.001,0.003,0.005,0,14,24,100,0,0,1
1,1,0,6,14,|,21,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.159,0,0.375,0,91.89,0,0,0,0.936,3.712,1.773,0.844,0.31,14,21,100,0,0,1
1,2,3,3,14,|,21,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.153,3.588,5.697,90.507,0,0,0,0,0,0,0,0.055,14,21,100,0,0,1
2,2,1,4,14,|,18,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0,0.224,9.921,89.838,0,0,0,0,0.006,0,0.012,0,14,18,100,0,0,1
0,2,3,3,14,|,17,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.113,2.661,4.358,92.831,0,0,0,0,0,0,0,0.036,14,17,100,0,0,1
1,2,0,6,14,|,17,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.059,0,0.2,0,98.007,0,0,0,0.171,0.745,0.46,0.266,0.092,14,17,100,0,0,1
0,2,3,2,14,|,16,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.003,0.046,2.582,97.348,0,0,0,0,0.004,0.01,0.008,0,14,16,100,0,0,1
1,1,2,6,14,|,12,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0.141,0,0.233,0,82.477,0,0,0,2.712,9.234,3.539,1.307,0.357,14,12,100,0,0,1
0,0,0,3,4,|,3,0,0,0,0,0,0,0,0,0,66.667,33.333,0,0,0,0,|,0,0,0.29,0,0,0,0,0.327,12.034,50.45,32.976,3.453,0.47,0,0,4,2,66.667,0.446,0.862,1
0,2,2,3,14,|,11,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,|,0,0,0,0.071,1.772,3.224,94.915,0,0,0,0,0,0,0,0.018,14,11,100,0,0,1
